RIN,PRIMARY_KEY,INCIDENT_DATE,LOCATION_DISTRICT,INCIDENT_REASON,REASON_FOR_FORCE,SUBJECT_ID,SUBJECT_GENDER,SUBJECT_RACE,SUBJECT_ROLE,SUBJECT_DESCRIPTION,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,NUMBER_EC_CYCLES,SUBJECT_INJURY_TYPE,OFFICER_INJURY_TYPE,,OFFICER_YEARS_ON_FORCE,Y_COORDINATE,Y_COORDINATE,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE
172728,2016780033,3/18/2016,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459383462: 2016780033,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression; expired code-other,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 2 REG III HWY ENFORCEMENT,8,3115265,10070399,9,317 E 6TH ST,Austin,TX,,
155401,2015280005,1/28/2015,AD,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459236422: 2015280005,M,White,,,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # SHOTS,,,,1,MINOR INJURY; NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 500 REG II PATROL,2,3095541,10142702,6,13858 N US 183 HWY SVRD SB,Austin,TX,,
149691,20141981994,7/18/2014,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,302385019: 20141981994,M,Hispanic,ARRESTED,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 500 REG IV PATROL,8,3115061,10044935,,5000 TABLE TOP TRL,Austin,TX,30.19693,-97.742096
153115,20143060391,11/2/2014,GE,VIEWED OFFENSE,"IN CUSTODY, MAINTAINING CONTROL",459210821: 20143060391,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE DISTRICT REPS REG I PARTOL,10,3115155,10070604,,300 E 6TH ST,Austin,TX,30.267346,-97.740288
174929,20162030003,7/21/2016,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459251421: 20162030003,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,4,3135340,10128339,7,13700 N IH 35 SVRD SB,Austin,TX,,
149599,20141931963,7/12/2014,CH,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,10627710: 20141931963,F,Black,VICTIM/ARRE,,EMPTY HAND ACTIVE AGGRESSION,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,2,3137140,10085508,,6409 SPRINGDALE RD,Austin,TX,30.307201,-97.669664
145288,2014840006,3/25/2014,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,459139467: 2014840006,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,6,3115155,10070604,,300 BLOCK E 6TH ST,Austin,TX,,
166125,20152490004,9/6/2015,GE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",185863685: 20152490004,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # SHOTS,,,,1,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,5,3115363,10070833,9,300 BLOCK E 7TH ST,Austin,TX,,
172103,2016680008,3/8/2016,GE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459318018: 2016680008,M,Black,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I EVENING,9,3115647,10070017,9,500 NECHES ST,Austin,TX,,
172246,2016680008,3/8/2016,GE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459318018: 2016680008,M,Black,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,1,MINOR INJURY; COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,GEORGE 1100 REG 1 NIGHTS,5,3115647,10070017,9,500 NECHES ST,Austin,TX,,
152713,20142921903,10/20/2014,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459015691: 20142921903,M,White,ARRESTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ADAM 700 REG II PATROL,6,3129179,10123478,,12430 METRIC BLVD,Austin,TX,30.411555,-97.69205
152690,20142921903,10/20/2014,AD,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,459015691: 20142921903,M,White,ARRESTED,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ADAM 700 REG II PATROL,1,3129179,10123478,,12430 METRIC BLVD,Austin,TX,30.411555,-97.69205
157412,2015750006,3/16/2015,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,293994972: 2015750006,F,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I PATROL,8,3115226,10070599,9,306 E 6TH ST,Austin,TX,,
168183,20153050009,11/1/2015,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,459338524: 20153050009,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,,METRO DTAC,3,3115491,10070521,9,400 E 6TH ST,Austin,TX,,
145088,20145012665,3/21/2014,GE,OTHER,"IN CUSTODY, MAINTAINING CONTROL",371197466: 20145012665,M,Hispanic,SUBJECT,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GANG SUPPRESSION UNIT OCD,13,3113071,10072892,,509 W 11TH ST,Austin,TX,30.274242,-97.746495
167303,20152850009,10/12/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459434933: 20152850009,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,GEORGE 800 REG I PATROL,3,3115416,10070416,9,E 6TH ST / TRINITY ST,Austin,TX,,
167443,20152850009,10/12/2015,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,459434933: 20152850009,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,18,3115416,10070416,9,E 6TH ST / TRINITY ST,Austin,TX,,
159871,20151240020,5/4/2015,ED,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",459271537: 20151240020,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,2,3135167,10113340,7,11600 N IH 35 NB,Austin,TX,,
175665,20162471762,9/4/2016,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459447406: 20162471762,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 300 REG II PATROL,1,3097641,10139458,6,12621 HYMEADOW DR,Austin,TX,,
147565,20141380049,5/18/2014,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,459157526: 20141380049,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,6,3115155,10070604,,300 BLOCK E 6TH ST,Austin,TX,,
149421,20141910008,7/10/2014,FR,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,301335852: 20141910008,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,FRANK 400 REG IV PATROL,2,3112757,10043660,,PALO BLANCO LN / E STASSNEY LN,Austin,TX,,
149701,20142030006,7/22/2014,ID,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,60360624: 20142030006,M,Hispanic,COMMITTED,EDP/MENTALLY UNSTABLE,EDGED WEAPON,CED - PRONGS MISSED-ENTER # SHOTS,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,1,3120588,10095273,,6702 N LAMAR BLVD,Austin,TX,30.334982,-97.720652
167922,20153030009,10/30/2015,CH,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,32049721: 20153030009,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,MINOR INJURY,CHARLIE 300 REG III PATROL,1,3121519,10066768,3,E 2ND ST / ROBERT T MARTINEZ JR ST,Austin,TX,,
174364,20161620008,6/10/2016,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459122710: 20161620008,F,Black,,EDP/MENTALLY UNSTABLE,expired code-verbal resistance/aggression; expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 800 REG I PATROL,1,3119642,10106515,7,1919 HEARTHSIDE DR,Austin,TX,,
152946,20142972378,10/24/2014,GE,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,459208707: 20142972378,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,CED - PRONGS-ENTER # SHOTS,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,2,3116996,10071738,,701 E 11TH ST,Austin,TX,30.270847,-97.734363
177018,20163340004,11/29/2016,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,242745655: 20163340004,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,4,3115951,10070759,9,500 E 7TH ST,Austin,TX,,
177019,20163340004,11/29/2016,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,242745655: 20163340004,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand defensive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,7,3115951,10070759,9,500 E 7TH ST,Austin,TX,,
156941,2015590012,2/28/2015,CH,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,305922516: 2015590012,M,Black,,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,3,3132628,10076452,1,4602 LESLIE AVE,Austin,TX,,
172646,2016752260,3/15/2016,ED,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,172559412: 2016752260,M,Black,,,expired code-passive resistance,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,2,3127578,10106801,4,900 RUTLAND DR,Austin,TX,,
149382,20141910008,7/10/2014,FR,TRAFFIC STOP,NECESSARY TO EFFECT ARREST / DETENTION,301335852: 20141910008,M,Hispanic,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 300 REG IV PATROL,6,3112757,10043660,,PALO BLANCO LN / E STASSNEY LN,Austin,TX,,
145528,2014870017,3/28/2014,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459140850: 2014870017,F,Hispanic,SUBJECT,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 700 REG II PATROL,15,3138796,10115175,,12104 LAVINIA LN,Austin,TX,30.388491,-97.661695
174295,20161561727,6/4/2016,ED,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,459411157: 20161561727,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,expired code-empty hand active aggression,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,3,3126880,10099656,4,302 E POWELL LN,Austin,TX,,
151322,20142460014,9/3/2014,DA,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",330826503: 20142460014,M,White,ARRESTED,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,FRANK 600 REG IV PATROL,6,3108051,10046007,,5510 S IH 35 SVRD SB,Austin,TX,,
155263,2015251126,1/26/2015,ED,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,29432470: 2015251126,M,White,,,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,2,3134231,10124161,7,12900 N IH 35 SVRD SB,Austin,TX,,
156106,2015370011,2/6/2015,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459160122: 2015370011,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,0,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,2,3135611,10127970,7,13641 N IH 35 SVRD NB,Austin,TX,,
159107,20151101376,4/20/2015,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,458879176: 20151101376,M,Hispanic,,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,HENRY 400 REG III PATROL,4,3127800,10056392,3,1601 MONTOPOLIS DR,Austin,TX,,
167543,20152910002,10/18/2015,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,459332865: 20152910002,M,Hispanic,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,3,3095922,10054272,5,5201 TAHOE TRL,Austin,TX,,
144369,2014560006,2/25/2014,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,380830102: 2014560006,M,Black,SUBJECT,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION,CED - PRONGS-ENTER # SHOTS,,,,1,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 700 REG I PATROL,2,3130044,10084314,,2001 SUNNY BROOK DR,Austin,TX,30.304577,-97.691999
151503,20142490002,9/6/2014,ID,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,254674165: 20142490002,M,Black,ARRESTED,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,ROBBERY UNIT,15,3129997,10096983,,1030 NORWOOD PARK BLVD,Austin,TX,30.338618,-97.692566
163142,20151902028,7/9/2015,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,317982450: 20151902028,M,Black,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,MINOR INJURY,MINOR INJURY,CHARLIE 400 REG III PATROL,5,3137140,10085508,1,6409 SPRINGDALE RD,Austin,TX,,
160188,20151311831,5/12/2015,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,458905685: 20151311831,M,White,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE,CHEMICAL AGENT - O C SPRAY,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 700 REG II PATROL,0,3103545,10132664,6,12930 POND SPRINGS RD,Austin,TX,,
